Build_Date,Build_ID,DOE_Code,DOE_ID,Elongation_Percent,Hatch_mm,Layer_mm,Modulus_GPa,Orientation,Parameter_Label,Peak_Stress_MPa,Percent_Porosity_Contour,Porosity_percent_infill,Power_W,Specimen_Position,Speed_mm_per_s,Total_Porosity_Percent,VED_J_per_mm3,Yield_Strength_MPa
2022-01-01,A01_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,7.329018,0.14,0.03,82.95913,Horizontal,A01,1047.749,0.0109683,0.312183,160,Baseplate,1200,0.245827,31.74603174603174,877.268
2022-01-01,A02_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,6.279538,0.14,0.03,83.17367,Horizontal,A02,1098.062,0.0,0.0260009,180,Baseplate,1200,0.020268,35.71428571428571,974.6752
2022-01-01,A03_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,12.40391,0.14,0.03,100.2675,Horizontal,A03,1135.778,0.000423924,0.00364381,200,Baseplate,1200,0.00285932,39.68253968253968,950.5035
2022-01-01,A04_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,8.149077,0.14,0.03,93.70417,Horizontal,A04,1128.017,0.0,0.00225171,220,Baseplate,1200,0.00163969,43.650793650793645,986.5347
2022-01-01,A05_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,10.10267,0.14,0.03,99.6174,Horizontal,A05,1138.589,0.000613666,0.00135328,240,Baseplate,1200,0.00110909,47.61904761904761,974.6122
2022-01-01,A06_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,3.284247,0.14,0.03,95.03085,Horizontal,A06,1120.158,0.243969,0.0961672,280,Baseplate,750,0.110825,88.88888888888889,1028.574
2022-01-01,A07_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,5.887272,0.14,0.03,88.85697,Horizontal,A07,1110.994,0.329676,0.202217,280,Baseplate,700,0.208519,95.23809523809523,995.7499
2022-01-01,A08_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,4.292009,0.14,0.03,97.03757,Horizontal,A08,1090.971,0.534752,0.459571,280,Baseplate,650,0.44793,102.56410256410255,992.3268
2022-01-01,A09_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,8.419169,0.08,0.03,90.61287,Horizontal,A09,1110.704,0.0,0.00124381,290,Baseplate,1500,0.000928906,80.55555555555556,973.0323
2022-01-01,A10_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,8.464392,0.07,0.03,89.87002,Horizontal,A10,1093.651,0.0,0.00144264,300,Baseplate,2000,0.00112004,71.42857142857143,984.8229
2022-01-01,A11_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,8.202316,0.07,0.03,86.94441,Horizontal,A11,1089.124,0.0,0.00157186,320,Baseplate,2100,0.00105874,72.56235827664399,938.3634
2022-01-01,A12_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,7.4592,0.05,0.03,98.51573,Horizontal,A12,1102.222,0.00527227,0.0053194,300,Baseplate,3000,0.00477535,66.66666666666667,974.7189
2022-01-01,A13_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,8.74651,0.07,0.03,96.45377,Horizontal,A13,1086.842,0.0,0.00118866,280,Baseplate,2000,0.000973732,66.66666666666666,933.7563
2022-01-01,A14_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,8.053302,0.1,0.03,98.75287,Horizontal,A14,1136.785,0.00502045,0.00132875,300,Baseplate,1800,0.00181943,55.555555555555564,991.1784
2022-01-01,A15_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,6.036261,0.1,0.03,82.80967,Horizontal,A15,1085.216,0.492476,0.575064,200,Baseplate,700,0.53502,95.23809523809524,976.9263
2022-01-01,A16_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,7.473958,0.08,0.03,98.98172,Horizontal,A16,1118.402,0.0190706,0.0185373,160,Baseplate,800,0.0175658,83.33333333333334,993.8903
2022-01-01,A17_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,8.371793,0.1,0.03,93.07995,Horizontal,A17,1107.98,0.00172499,0.0018885,300,Baseplate,1250,0.00151695,80.0,970.399
2022-01-01,A18_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,5.492799,0.15,0.03,96.04544,Horizontal,A18,1113.89,0.181708,0.113757,370,Baseplate,2000,0.125068,41.111111111111114,971.1376
2022-01-01,A19_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,7.478177,0.16,0.03,89.61057,Horizontal,A19,1114.767,0.11555,0.0234912,320,Baseplate,1500,0.0373749,44.44444444444445,964.1324
2022-01-01,A20_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,6.150909,0.15,0.03,90.66242,Horizontal,A20,1130.731,0.0232232,0.00274804,300,Baseplate,1350,0.00891745,49.382716049382715,983.5157
2022-01-01,A21_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,5.701865,0.15,0.03,84.51073,Horizontal,A21,1095.841,0.11741,0.165907,340,Baseplate,2100,0.152142,35.97883597883598,941.9655
2022-01-01,A22_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,5.812933,0.03,0.03,95.54525,Horizontal,A22,1120.34,0.0585931,0.124448,350,Baseplate,6000,0.101895,64.81481481481482,978.0721
2022-01-01,A23_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,8.2209,0.05,0.03,89.25477,Horizontal,A23,1121.362,0.000259167,0.022606,300,Baseplate,4000,0.0177705,50.0,961.8759
2022-01-01,A24_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,7.457855,0.07,0.03,89.28768,Horizontal,A24,1108.506,0.0,0.00341325,330,Baseplate,3000,0.00276168,52.38095238095237,969.9091
2022-01-01,A25_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,6.214844,0.12,0.03,88.42375,Horizontal,A25,1108.539,0.202039,0.605952,140,Baseplate,500,0.509538,77.77777777777779,961.4067
2022-01-01,A26_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,8.483478,0.14,0.03,93.44316,Horizontal,A26,1144.835,0.000293813,0.00526871,100,Baseplate,400,0.0040585,59.52380952380952,1004.52
2022-01-01,A27_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,7.775581,0.1,0.03,87.30763,Horizontal,A27,1122.948,0.0219188,0.0155604,220,Baseplate,900,0.0152577,81.4814814814815,980.0062
2022-01-01,A28_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,8.026777,0.06,0.03,88.19481,Horizontal,A28,1096.679,0.0024893,0.00190057,180,Baseplate,1100,0.00182769,90.9090909090909,976.962
2022-01-01,A29_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,9.449429,0.04,0.03,86.23091,Horizontal,A29,1051.178,0.000561913,0.00147463,200,Baseplate,1900,0.00126615,87.71929824561404,924.7627
2022-01-01,A30_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,7.79006,0.04,0.03,92.33394,Horizontal,A30,1076.553,0.000400994,0.00126507,180,Baseplate,2100,0.00105159,71.42857142857143,959.8861
2022-01-01,A31_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,5.910344,0.15,0.03,86.33178,Horizontal,A31,1116.498,0.0636185,0.0693158,370,Baseplate,1800,0.0733794,45.67901234567901,974.3593
2022-01-01,A32_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,6.865469,0.18,0.03,90.05297,Horizontal,A32,1139.163,0.03728,0.00359806,370,Baseplate,1100,0.00835063,62.2895622895623,1017.113
2022-01-01,A33_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,6.121147,0.1,0.03,84.43506,Horizontal,A33,1109.124,0.0296576,0.00156688,370,Baseplate,1200,0.00555888,102.77777777777779,1016.943
2022-01-01,A34_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,12.25088,0.11,0.03,86.17876,Horizontal,A34,1118.322,0.000528885,0.00222384,200,Baseplate,1400,0.0017293,43.290043290043286,975.8363
2022-01-01,A35_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,1.948821,0.08,0.03,69.91927,Horizontal,A35,735.5991,1.00879,3.96642,200,Baseplate,3500,3.1799,23.80952380952381,629.668
2022-01-01,A36_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,11.20304,0.09,0.03,94.70798,Horizontal,A36,1112.07,0.0,0.00438167,275,Baseplate,2200,0.00306746,46.2962962962963,943.2427
2022-01-01,A37_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,2.563149,0.1,0.03,82.32044,Horizontal,A37,912.824,0.0987504,2.28582,250,Baseplate,3000,1.84527,27.77777777777778,778.3625
2022-01-01,A38_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,4.308186,0.04,0.03,89.97368,Horizontal,A38,1062.401,0.1027,0.696833,250,Baseplate,5000,0.574219,41.666666666666664,900.9956
2022-01-01,A39_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,7.28644,0.1,0.03,91.87596,Horizontal,A39,1113.924,0.000517327,0.00267122,300,Baseplate,1200,0.00183207,83.33333333333334,994.2738
2022-01-01,A40_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,5.845188,0.1,0.03,85.43935,Horizontal,A40,1031.538,0.0794765,0.585164,100,Baseplate,1000,0.485098,33.333333333333336,856.235
2022-01-01,A41_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,4.678867351036804,0.05,0.03,107.18736346521496,Horizontal,A41,1073.29,0.0,0.00162309,200,Baseplate,1000,0.00821562,133.33333333333334,984.8512531776023
2022-01-01,A42_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,7.312917,0.09,0.03,82.8952,Horizontal,A42,1113.931,0.00185538,0.0018025,330,Baseplate,1200,0.00161521,101.85185185185186,1005.588
2022-01-01,A43_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,5.422559,0.12,0.03,92.03062,Horizontal,A43,1133.809,0.00607672,0.0105427,330,Baseplate,1900,0.00930143,48.24561403508772,991.9364
2022-01-01,A44_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,8.837733,0.1,0.03,91.09922,Horizontal,A44,1122.924,0.0147461,0.0320147,250,Baseplate,2200,0.0252123,37.87878787878788,951.9387
2022-01-01,A45_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,6.961423,0.04,0.03,88.86436,Horizontal,A45,1040.917,0.0,0.00188301,250,Baseplate,2200,0.00146713,94.6969696969697,946.2058
2022-01-01,A46_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,6.513747,0.06,0.03,72.85587,Horizontal,A46,1081.437,0.0,0.00139565,300,Baseplate,2500,0.00110263,66.66666666666667,972.878
2022-01-01,A47_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,4.963275,0.11,0.03,90.74103,Horizontal,A47,1105.532,0.0382818,0.0140935,250,Baseplate,800,0.0159715,94.6969696969697,1000.853
2022-01-01,A48_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,6.888027,0.1,0.03,75.96694,Horizontal,A48,1086.132,0.305668,0.184219,370,Baseplate,2500,0.199193,49.333333333333336,968.8573
2022-01-02,A49_2022-01-02_JHUAPL_EOSM290_Ti64_Cylinder,1,A,10.15161,0.08,0.03,99.25736,Horizontal,A49,1104.252,0.0,0.00211239,250,Baseplate,1800,0.00155,57.87037037037037,969.0188
2022-01-01,A50_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,4.226879,0.19,0.03,88.15843,Horizontal,A50,1087.233,0.0527262,0.124993,340,Baseplate,600,0.109627,99.41520467836257,975.981
2022-01-01,A51_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,9.330571,0.14,0.03,96.24342,Horizontal,A51,1121.449,0.0,0.00162309,280,Baseplate,1200,0.0010639,55.55555555555554,982.8213
2022-01-01,A52_2022-01-01_JHUAPL_EOSM290_Ti64_Cylinder,1,A,6.620796,0.14,0.03,97.50431,Horizontal,A52,1109.718,0.00182296,0.00815422,280,Baseplate,800,0.00604132,83.33333333333333,985.6682
